"created_at","progress","type","count"
"2020-05-26","40%","Retweets","2612"
"2020-05-30","41%","Retweets","1688"
"2020-06-02","42%","Retweets","1850"
"2020-06-06","43%","Retweets","1438"
"2020-06-10","44%","Retweets","1608"
"2020-06-13","45%","Retweets","2124"
"2020-06-17","46%","Retweets","1311"
"2020-06-21","47%","Retweets","1557"
"2020-06-24","48%","Retweets","1486"
"2020-06-28","49%","Retweets","2421"
"2020-07-02","50%","Retweets","24977"
"2020-07-05","51%","Retweets","2065"
"2020-07-09","52%","Retweets","1246"
"2020-07-13","53%","Retweets","1680"
"2020-07-16","54%","Retweets","1286"
"2020-07-20","55%","Retweets","1693"
"2020-07-24","56%","Retweets","1307"
"2020-07-27","57%","Retweets","1385"
"2020-07-31","58%","Retweets","1465"
"2020-08-03","59%","Retweets","1507"
"2020-08-07","60%","Retweets","3257"
"2020-08-11","61%","Retweets","1515"
"2020-08-14","62%","Retweets","1594"
"2020-08-18","63%","Retweets","1519"
"2020-08-22","64%","Retweets","1669"
"2020-08-25","65%","Retweets","1909"
"2020-08-29","66%","Retweets","2236"
"2020-09-02","67%","Retweets","1704"
"2020-09-05","68%","Retweets","1731"
"2020-09-09","69%","Retweets","30591"
"2020-09-13","70%","Retweets","4175"
"2020-09-16","71%","Retweets","1684"
"2020-09-20","72%","Retweets","1815"
"2020-09-24","73%","Retweets","1609"
"2020-09-27","74%","Retweets","1813"
"2020-10-01","75%","Retweets","4399"
"2020-10-05","76%","Retweets","1815"
"2020-10-08","77%","Retweets","1644"
"2020-10-12","78%","Retweets","2117"
"2020-10-16","79%","Retweets","1841"
"2020-10-19","80%","Retweets","5034"
"2020-10-23","81%","Retweets","1601"
"2020-10-27","82%","Retweets","1498"
"2020-10-30","83%","Retweets","1450"
"2020-11-03","84%","Retweets","1911"
"2020-11-07","85%","Retweets","2490"
"2020-11-10","86%","Retweets","1499"
"2020-11-14","87%","Retweets","1587"
"2020-11-18","88%","Retweets","1675"
"2020-11-21","89%","Retweets","1439"
"2020-11-25","90%","Retweets","5654"
"2020-11-29","91%","Retweets","2473"
"2020-12-02","92%","Retweets","2274"
"2020-12-06","93%","Retweets","2188"
"2020-12-10","94%","Retweets","1953"
"2020-12-13","95%","Retweets","3747"
"2020-12-17","96%","Retweets","2322"
"2020-12-21","97%","Retweets","4267"
"2020-12-24","98%","Retweets","7323"
"2020-12-28","99%","Retweets","20404"
"2021-01-01","0%","Retweets","22750"
