date,Y,trimestre,y,XB,C,L,A,z,T_lin,S_lin,I_lin,z_SA,T_final,I_final,y_SA_final,Y_SA_final,epsilon,evento
1996-01-01,20264.7628829692,1996-T1,9.916638838178223,0.10187849428665414,0.00766485090076695,0.0942136433858872,0,9.81476034389157,9.806435295213033,0.00874869909945414,-4.23650420920296e-4,9.806011644792113,9.90064893859892,-4.23650420920296e-4,9.900225288178,19934.861020891774,,
1996-04-01,20368.6756828312,1996-T2,9.92175349399161,0.0942136433858872,0,0.0942136433858872,0,9.82753985060572,9.820936038240424,0.00573161089097109,8.72201474328094e-4,9.821808239714752,9.91514968162631,8.72201474328094e-4,9.91602188310064,20252.264290544037,0.0015713947484434,
1996-07-01,19581.2485453016,1996-T3,9.882327680410125,0.09485625549458931,6.42612108702124e-4,0.0942136433858872,0,9.78747142491553,9.833758364418943,-0.0467143215814561,4.27382078038718e-4,9.834185746496981,9.92797200780483,4.27382078038718e-4,9.92839938988287,20504.4946001514,-0.00166375562360004,
1996-10-01,21420.8114956707,1996-T4,9.97211822823607,0.09485625549458931,6.42612108702124e-4,0.0942136433858872,0,9.87726197274148,9.848926500488254,0.0325165757605809,-0.00418110350735468,9.8447453969809,9.94314014387414,-0.00418110350735468,9.93895904036679,20722.162120342804,-0.00324899175268855,
1997-01-01,21401.2979140108,1997-T1,9.971206849358214,0.09101608097692943,-0.003197562408957774,0.0942136433858872,0,9.88019076838128,9.869128122792384,0.00842363759191601,0.00263900799697936,9.871767130789364,9.96334176617827,0.00263900799697936,9.96598077417525,21289.744868294383,0.0122594646803175,
1997-04-01,21755.7152197142,1997-T2,9.987631770721668,0.0942136433858872,0,0.0942136433858872,0,9.89341812733578,9.890194266099813,0.00535068767205408,-0.00212682643608098,9.888067439663732,9.9844079094857,-0.00212682643608098,9.98228108304962,21639.618059300938,0.00137287145275211,
1997-07-01,21177.7762362852,1997-T3,9.960707620077805,0.09485625549458931,6.42612108702124e-4,0.0942136433858872,0,9.86585136458322,9.910675745973114,-0.0468009322313947,0.00197655084149595,9.91265229681461,10.004889389359,0.00197655084149595,10.0068659402005,22178.218558332712,0.0115222744560899,
1997-10-01,23334.9924442461,1997-T4,10.057709334588967,0.09485625549458931,6.42612108702124e-4,0.0942136433858872,0,9.96285307909441,9.929305058190314,0.033805023482736,-2.5700257861061e-4,9.929048055611704,10.0235187015762,-2.5700257861061e-4,10.023261698997601,22544.844623606194,0.00529861110672211,
1998-01-01,23040.2121205589,1998-T1,10.044996321388927,0.09101608097692943,-0.003197562408957774,0.0942136433858872,0,9.95398024041197,9.944293765195813,0.00779789327717295,0.00188858193894426,9.946182347134757,10.0385074085817,0.00188858193894426,10.0403959905207,22934.462948617987,-0.00458496239792251,
1998-04-01,23266.3860277816,1998-T2,10.054764938166413,0.0942136433858872,0,0.0942136433858872,0,9.96055129478051,9.952188453660213,0.00494299203902623,0.00341984908125248,9.955608302741465,10.0464020970461,0.00341984908125248,10.0498219461274,23151.6642349088,-0.00584814834691475,
1998-07-01,22010.464533866,1998-T3,9.999273279880068,0.09485625549458931,6.42612108702124e-4,0.0942136433858872,0,9.90441702438548,9.955398915522313,-0.0467469006675689,-0.00423499046925002,9.951163925053063,10.0496125589082,-0.00423499046925002,10.0453775684389,23048.997808112927,-0.0217847910443296,
1998-10-01,23018.0933158854,1998-T4,10.0440358515599,0.04558199653294493,6.42612108702124e-4,0.044939384424242806,0,9.99845385502696,9.962316827063757,0.0352433573547765,8.93670608384411e-4,9.963210497672142,10.007256211488,8.93670608384411e-4,10.0081498820964,22206.712390614364,1.5420322004669e-4,LS1998.4
1999-01-01,22457.0144317854,1999-T1,10.019358291219177,0.041741822015285035,-0.003197562408957774,0.044939384424242806,0,9.97761646920392,9.969704372117857,0.00613113267002618,0.00178096441599429,9.971485336533851,10.0146437565421,0.00178096441599429,10.0164247209581,22391.23173834853,-0.0146635368823197,
1999-04-01,22514.996541822,1999-T2,10.021936879141256,0.044939384424242806,0,0.044939384424242806,0,9.97699749471706,9.977381417241457,0.00447114833540688,-0.00485507085981318,9.972526346381644,10.0223208016657,-0.00485507085981318,10.0174657308059,22414.55336800949,-0.0106326072293286,
1999-07-01,21856.5681829353,1999-T3,9.992256758689605,0.04558199653294493,6.42612108702124e-4,0.044939384424242806,0,9.94667476215665,9.993099938398258,-0.0458855268226352,-5.39649418941579e-4,9.992560288979316,10.0380393228225,-5.39649418941579e-4,10.0374996734035,22868.133572827195,0.012987675291994,
